Name,Taxonomy,Abundance
OTU_001,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium prausnitzii",32781
OTU_002,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; Uncultured bacterium",18027
OTU_003,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus] torques group; Ambiguous_taxa",15593
OTU_004,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Eubacterium] hallii group; Metagenome",8240
OTU_005,"Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia muciniphila",6100
OTU_006,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus] torques group; Uncultured organism",6240
OTU_007,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus] torques group; Uncultured bacterium",5811
OTU_008,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus] torques group; Ambiguous_taxa",5990
OTU_009,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus bromii; UNK.MGS-30",4494
OTU_010,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus 2; Ambiguous_taxa",4716
OTU_011,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Eubacterium] eligens group; [Eubacterium] eligens ATCC 27750",1905
OTU_012,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; Uncultured Roseburia sp",849
OTU_013,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; Uncultured bacterium",410
OTU_014,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Eubacterium] xylanophilum group; Uncultured bacterium",1260
OTU_015,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; Uncultured bacterium",2753
OTU_016,"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia coli",59
OTU_017,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides fragilis",3200
OTU_018,"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium longum",1420
OTU_019,"Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus acidophilus",980
OTU_020,"Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Uncultured bacterium",5
OTU_021,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; Blautia obeum",2100
OTU_022,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella copri",780
OTU_023,"Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus gnavus",540
OTU_024,"Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia intestinalis",120
OTU_025,"Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella wadsworthensis",230
